ID,X,Y,Z,Node,Drawdown_p,Drawdown_r
288,263568.9373,2744428.444,93.53111569,12800,-0.266276437,-0.244445604
289,263822.6453,2744403.235,93.50301772,12818,-0.404511919,-0.326470843
290,263840.8793,2744380.145,93.46208735,12837,-0.416081107,-0.331913168
291,263444.9449,2744306.108,93.45528293,12838,-0.234394018,-0.213397729
292,263859.1132,2744357.055,93.42115698,12849,-0.423271327,-0.334182003
293,263660.4447,2744431.331,93.3417239,12871,-0.657227444,-0.578847643
294,263623.8859,2744433.038,93.32221562,12876,-0.542172504,-0.489298911
295,263695.826,2744430.332,93.30591161,12880,-0.669324439,-0.580187664
296,263731.4183,2744428.981,93.29322018,12882,-0.599715118,-0.505866093
297,263767.0106,2744427.631,93.28052875,12885,-0.482879651,-0.399904665
298,263586.1495,2744435.45,93.24738677,12900,-0.3493826,-0.319164774
299,263839.2838,2744395.806,93.15278257,12942,-0.402690907,-0.323386536
300,263857.5178,2744372.716,93.1118522,12951,-0.402833187,-0.320785377
301,263641.0981,2744440.044,93.0384867,12973,-0.543972893,-0.484714181
302,263676.4794,2744439.044,93.00267441,12987,-0.591379972,-0.521165495
303,263747.6639,2744436.343,92.97729156,12995,-0.502905697,-0.422857825
304,263783.2562,2744434.993,92.96460013,13000,-0.394438339,-0.326014724
305,263603.3617,2744442.456,92.96365785,13003,-0.391398024,-0.356785861
306,263988.2149,2744295.511,92.95790959,13008,-0.229347761,-0.181872731
307,263801.4002,2744427.151,92.92422601,13030,-0.39713662,-0.325639666
308,263465.4093,2744386.687,92.89767837,13042,-0.230148317,-0.210931236
309,263819.5443,2744419.309,92.8838519,13048,-0.393313443,-0.32015033
310,263855.9223,2744388.377,92.80254741,13068,-0.392653364,-0.31459486
311,263268.1308,2744286.453,92.72133364,13097,-0.12563491,-0.115577073
312,263892.3902,2744342.197,92.72068668,13098,-0.372197723,-0.293855431
313,263657.1327,2744447.756,92.69943721,13107,-0.508030742,-0.452040536
314,263620.5739,2744449.462,92.67992893,13111,-0.417692463,-0.377519378
315,263763.9095,2744443.705,92.66136293,13115,-0.391263109,-0.326600985
316,263331.4172,2744245.777,92.62298282,13125,-0.152958376,-0.139483194
317,263491.2965,2744434.382,92.62199738,13126,-0.229140929,-0.209809322
318,263394.7035,2744205.101,92.52463199,13160,-0.213125314,-0.182687022
319,263637.786,2744456.468,92.39620001,13207,-0.421740074,-0.377357767
320,263708.9706,2744453.767,92.37081716,13211,-0.409128842,-0.351209714
321,263780.1551,2744451.066,92.34543431,13222,-0.382358982,-0.318021156
322,263798.2992,2744443.225,92.30506019,13238,-0.38400731,-0.316946918
323,263437.8374,2744339.531,92.29230416,13242,-0.225236519,-0.205960144
324,263816.4432,2744435.383,92.26468608,13246,-0.383830752,-0.314569057
325,263852.7314,2744419.699,92.18393784,13277,-0.374330445,-0.303249481
326,263889.1992,2744373.519,92.10207711,13307,-0.36311039,-0.289535264
327,263525.7209,2744448.394,92.05453954,13324,-0.234231153,-0.214226502
328,263925.6671,2744327.34,92.02021637,13340,-0.313966244,-0.247278022
329,264113.2562,2744296.588,91.80608284,13416,-0.162997604,-0.13210997
330,263670.2773,2744471.192,91.76434277,13436,-0.351444203,-0.30676012
331,263741.4618,2744468.491,91.73895991,13443,-0.367614306,-0.311217646
332,263560.1453,2744462.406,91.4870817,13539,-0.240861107,-0.219341228
333,263886.0083,2744404.841,91.48346754,13542,-0.35128069,-0.282783438
334,263922.4762,2744358.662,91.4016068,13566,-0.315404036,-0.250630738
335,264048.7349,2744328.43,91.39617453,13568,-0.191189347,-0.153927335
336,263702.7685,2744485.915,91.13248552,13664,-0.352147574,-0.303265021
337,263430.73,2744372.953,91.12932538,13666,-0.221027959,-0.202452354
338,263810.2411,2744467.531,91.02635443,13703,-0.36199814,-0.299785879
339,263846.5292,2744451.847,90.9456062,13730,-0.357817818,-0.292822248
340,263594.5696,2744476.418,90.91962386,13761,-0.256126616,-0.231749107
